Message,XPath,XML Tag,Type,MinOccurs,MaxOccurs
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/LEI,LEI,LEIIdentifier,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/Nm,Nm,Max140Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr,PstlAdr,PostalAddress24,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrTp,AdrTp,AddressType3Choice,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrTp/Cd,Cd,AddressType2Code,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrTp/Prtry,Prtry,GenericIdentification30,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrTp/Prtry/Id,Id,Exact4AlphaNumericText,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrTp/Prtry/Issr,Issr,Max35Text,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrTp/Prtry/SchmeNm,SchmeNm,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/Dept,Dept,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/SubDept,SubDept,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/StrtNm,StrtNm,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/BldgNb,BldgNb,Max16Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/BldgNm,BldgNm,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/Flr,Flr,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/PstBx,PstBx,Max16Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/Room,Room,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/PstCd,PstCd,Max16Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/TwnNm,TwnNm,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/TwnLctnNm,TwnLctnNm,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/DstrctNm,DstrctNm,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/CtrySubDvsn,CtrySubDvsn,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/Ctry,Ctry,CountryCode,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrLine,AdrLine,Max70Text,0,7
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt,InstdAgt,BranchAndFinancialInstitutionIdentification6,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId,FinInstnId,FinancialInstitutionIdentification18,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/BICFI,BICFI,BICFIDec2014Identifier,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/ClrSysMmbId,ClrSysMmbId,ClearingSystemMemberIdentification2,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/ClrSysMmbId/ClrSysId,ClrSysId,ClearingSystemIdentification2Choice,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd,Cd,ExternalClearingSystemIdentification1Code,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/ClrSysMmbId/ClrSysId/Prtry,Prtry,Max35Text,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/ClrSysMmbId/MmbId,MmbId,Max35Text,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/LEI,LEI,LEIIdentifier,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/Nm,Nm,Max140Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr,PstlAdr,PostalAddress24,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrTp,AdrTp,AddressType3Choice,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrTp/Cd,Cd,AddressType2Code,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrTp/Prtry,Prtry,GenericIdentification30,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrTp/Prtry/Id,Id,Exact4AlphaNumericText,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrTp/Prtry/Issr,Issr,Max35Text,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrTp/Prtry/SchmeNm,SchmeNm,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/Dept,Dept,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/SubDept,SubDept,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/StrtNm,StrtNm,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/BldgNb,BldgNb,Max16Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/BldgNm,BldgNm,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/Flr,Flr,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/PstBx,PstBx,Max16Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/Room,Room,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/PstCd,PstCd,Max16Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/TwnNm,TwnNm,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/TwnLctnNm,TwnLctnNm,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/DstrctNm,DstrctNm,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/CtrySubDvsn,CtrySubDvsn,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/Ctry,Ctry,CountryCode,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrLine,AdrLine,Max70Text,0,7
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/Othr,Othr,GenericFinancialIdentification1,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/Othr/Id,Id,Max35Text,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/Othr/SchmeNm,SchmeNm,FinancialIdentificationSchemeName1Choice,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/Othr/SchmeNm/Cd,Cd,ExternalFinancialInstitutionIdentification1Code,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/Othr/SchmeNm/Prtry,Prtry,Max35Text,1,1
