Message,XPath,XML Tag,Type,MinOccurs,MaxOccurs
pacs.009.001.13,/Document,Document,Document,1,1
pacs.009.001.13,/Document/FICdtTrf,FICdtTrf,FinancialInstitutionCreditTransferV13,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr,GrpHdr,GroupHeader131,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/MsgId,MsgId,Max35Text,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/CreDtTm,CreDtTm,ISODateTime,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/XpryDtTm,XpryDtTm,ISODateTime,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/BtchBookg,BtchBookg,BatchBookingIndicator,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/NbOfTxs,NbOfTxs,Max15NumericText,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/CtrlSum,CtrlSum,DecimalNumber,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/TtlIntrBkSttlmAmt,TtlIntrBkSttlmAmt,ActiveCurrencyAndAmount,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/IntrBkSttlmDt,IntrBkSttlmDt,ISODate,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf,SttlmInf,SettlementInstruction15,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmMtd,SttlmMtd,SettlementMethod1Code,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct,SttlmAcct,CashAccount40,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Id,Id,AccountIdentification4Choice,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Id/IBAN,IBAN,IBAN2007Identifier,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Id/Othr,Othr,GenericAccountIdentification1,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/Id,Id,Max34Text,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/SchmeNm,SchmeNm,AccountSchemeName1Choice,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/SchmeNm/Cd,Cd,ExternalAccountIdentification1Code,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/SchmeNm/Prtry,Prtry,Max35Text,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/Issr,Issr,Max35Text,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Tp,Tp,CashAccountType2Choice,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Tp/Cd,Cd,ExternalCashAccountType1Code,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Tp/Prtry,Prtry,Max35Text,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Ccy,Ccy,ActiveOrHistoricCurrencyCode,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Nm,Nm,Max70Text,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Prxy,Prxy,ProxyAccountIdentification1,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Prxy/Tp,Tp,ProxyAccountType1Choice,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Prxy/Tp/Cd,Cd,ExternalProxyAccountType1Code,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Prxy/Tp/Prtry,Prtry,Max35Text,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/SttlmAcct/Prxy/Id,Id,Max2048Text,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/ClrSys,ClrSys,ClearingSystemIdentification3Choice,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/ClrSys/Cd,Cd,ExternalCashClearingSystem1Code,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/ClrSys/Prtry,Prtry,Max35Text,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt,InstgRmbrsmntAgt,BranchAndFinancialInstitutionIdentification8,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId,FinInstnId,FinancialInstitutionIdentification23,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/BICFI,BICFI,BICFIDec2014Identifier,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/ClrSysMmbId,ClrSysMmbId,ClearingSystemMemberIdentification2,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/ClrSysMmbId/ClrSysId,ClrSysId,ClearingSystemIdentification2Choice,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd,Cd,ExternalClearingSystemIdentification1Code,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/ClrSysMmbId/ClrSysId/Prtry,Prtry,Max35Text,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/ClrSysMmbId/MmbId,MmbId,Max35Text,1,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/LEI,LEI,LEIIdentifier,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/Nm,Nm,Max140Text,0,1
pacs.009.001.13,/Document/FICdtTrf/GrpHdr/SttlmInf/InstgRmbrsmntAgt/FinInstnId/PstlAdr,PstlAdr,PostalAddress27,0,1
