Message,XPath,XML Tag,Type,MinOccurs,MaxOccurs
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/Othr/SchmeNm/Cd,Cd,ExternalFinancialInstitutionIdentification1Code,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/Othr/SchmeNm/Prtry,Prtry,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/FinInstnId/Othr/Issr,Issr,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId,BrnchId,BranchData5,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/Id,Id,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/LEI,LEI,LEIIdentifier,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/Nm,Nm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr,PstlAdr,PostalAddress27,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrTp,AdrTp,AddressType3Choice,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrTp/Cd,Cd,AddressType2Code,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrTp/Prtry,Prtry,GenericIdentification30,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrTp/Prtry/Id,Id,Exact4AlphaNumericText,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrTp/Prtry/Issr,Issr,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrTp/Prtry/SchmeNm,SchmeNm,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/CareOf,CareOf,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/Dept,Dept,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/SubDept,SubDept,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/StrtNm,StrtNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/BldgNb,BldgNb,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/BldgNm,BldgNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/Flr,Flr,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/UnitNb,UnitNb,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/PstBx,PstBx,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/Room,Room,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/PstCd,PstCd,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/TwnNm,TwnNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/TwnLctnNm,TwnLctnNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/DstrctNm,DstrctNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/CtrySubDvsn,CtrySubDvsn,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/Ctry,Ctry,CountryCode,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstgAgt/BrnchId/PstlAdr/AdrLine,AdrLine,Max70Text,0,7
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt,InstdAgt,BranchAndFinancialInstitutionIdentification8,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId,FinInstnId,FinancialInstitutionIdentification23,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/BICFI,BICFI,BICFIDec2014Identifier,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/ClrSysMmbId,ClrSysMmbId,ClearingSystemMemberIdentification2,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/ClrSysMmbId/ClrSysId,ClrSysId,ClearingSystemIdentification2Choice,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd,Cd,ExternalClearingSystemIdentification1Code,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/ClrSysMmbId/ClrSysId/Prtry,Prtry,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/ClrSysMmbId/MmbId,MmbId,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/LEI,LEI,LEIIdentifier,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/Nm,Nm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr,PstlAdr,PostalAddress27,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrTp,AdrTp,AddressType3Choice,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrTp/Cd,Cd,AddressType2Code,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrTp/Prtry,Prtry,GenericIdentification30,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrTp/Prtry/Id,Id,Exact4AlphaNumericText,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrTp/Prtry/Issr,Issr,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrTp/Prtry/SchmeNm,SchmeNm,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/CareOf,CareOf,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/Dept,Dept,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/SubDept,SubDept,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/StrtNm,StrtNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/BldgNb,BldgNb,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/BldgNm,BldgNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/Flr,Flr,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/UnitNb,UnitNb,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/PstBx,PstBx,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/Room,Room,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/PstCd,PstCd,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/TwnNm,TwnNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/TwnLctnNm,TwnLctnNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/DstrctNm,DstrctNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/CtrySubDvsn,CtrySubDvsn,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/Ctry,Ctry,CountryCode,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/PstlAdr/AdrLine,AdrLine,Max70Text,0,7
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/Othr,Othr,GenericFinancialIdentification1,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/Othr/Id,Id,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/Othr/SchmeNm,SchmeNm,FinancialIdentificationSchemeName1Choice,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/Othr/SchmeNm/Cd,Cd,ExternalFinancialInstitutionIdentification1Code,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/Othr/SchmeNm/Prtry,Prtry,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/FinInstnId/Othr/Issr,Issr,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId,BrnchId,BranchData5,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/Id,Id,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/LEI,LEI,LEIIdentifier,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/Nm,Nm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr,PstlAdr,PostalAddress27,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrTp,AdrTp,AddressType3Choice,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrTp/Cd,Cd,AddressType2Code,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrTp/Prtry,Prtry,GenericIdentification30,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrTp/Prtry/Id,Id,Exact4AlphaNumericText,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrTp/Prtry/Issr,Issr,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrTp/Prtry/SchmeNm,SchmeNm,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/CareOf,CareOf,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/Dept,Dept,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/SubDept,SubDept,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/StrtNm,StrtNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/BldgNb,BldgNb,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/BldgNm,BldgNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/Flr,Flr,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/UnitNb,UnitNb,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/PstBx,PstBx,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/Room,Room,Max70Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/PstCd,PstCd,Max16Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/TwnNm,TwnNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/TwnLctnNm,TwnLctnNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/DstrctNm,DstrctNm,Max140Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/CtrySubDvsn,CtrySubDvsn,Max35Text,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/Ctry,Ctry,CountryCode,0,1
pacs.010.001.06,/Document/FIDrctDbt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrLine,AdrLine,Max70Text,0,7
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr,CdtInstr,CreditTransferTransaction66,1,
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/CdtId,CdtId,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/BtchBookg,BtchBookg,BatchBookingIndicator,0,1
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/PmtTpInf,PmtTpInf,PaymentTypeInformation28,0,1
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/PmtTpInf/InstrPrty,InstrPrty,Priority2Code,0,1
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/PmtTpInf/ClrChanl,ClrChanl,ClearingChannel2Code,0,1
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/PmtTpInf/SvcLvl,SvcLvl,ServiceLevel8Choice,0,
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/PmtTpInf/SvcLvl/Cd,Cd,ExternalServiceLevel1Code,1,1
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/PmtTpInf/SvcLvl/Prtry,Prtry,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/PmtTpInf/LclInstrm,LclInstrm,LocalInstrument2Choice,0,1
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/PmtTpInf/LclInstrm/Cd,Cd,ExternalLocalInstrument1Code,1,1
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/PmtTpInf/LclInstrm/Prtry,Prtry,Max35Text,1,1
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/PmtTpInf/CtgyPurp,CtgyPurp,CategoryPurpose1Choice,0,1
pacs.010.001.06,/Document/FIDrctDbt/CdtInstr/PmtTpInf/CtgyPurp/Cd,Cd,ExternalCategoryPurpose1Code,1,1
