Message,XPath,XML Tag,Type,MinOccurs,MaxOccurs
pacs.029.001.02,/Document,Document,Document,1,1
pacs.029.001.02,/Document/MulSttlmReq,MulSttlmReq,MultilateralSettlementRequestV02,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr,GrpHdr,GroupHeader104,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/MsgId,MsgId,Max35Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/CreDtTm,CreDtTm,ISODateTime,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/NbOfSttlmReqs,NbOfSttlmReqs,Max15NumericText,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/CtrlSum,CtrlSum,DecimalNumber,0,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf,SttlmInf,SettlementInstruction14,0,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmMtd,SttlmMtd,SettlementMethod2Code,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct,SttlmAcct,CashAccount40,0,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Id,Id,AccountIdentification4Choice,0,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Id/IBAN,IBAN,IBAN2007Identifier,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Id/Othr,Othr,GenericAccountIdentification1,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/Id,Id,Max34Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/SchmeNm,SchmeNm,AccountSchemeName1Choice,0,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/SchmeNm/Cd,Cd,ExternalAccountIdentification1Code,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/SchmeNm/Prtry,Prtry,Max35Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/Issr,Issr,Max35Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Tp,Tp,CashAccountType2Choice,0,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Tp/Cd,Cd,ExternalCashAccountType1Code,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Tp/Prtry,Prtry,Max35Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Ccy,Ccy,ActiveOrHistoricCurrencyCode,0,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Nm,Nm,Max70Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Prxy,Prxy,ProxyAccountIdentification1,0,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Prxy/Tp,Tp,ProxyAccountType1Choice,0,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Prxy/Tp/Cd,Cd,ExternalProxyAccountType1Code,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Prxy/Tp/Prtry,Prtry,Max35Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/SttlmAcct/Prxy/Id,Id,Max2048Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/ClrSys,ClrSys,ClearingSystemIdentification3Choice,0,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/ClrSys/Cd,Cd,ExternalCashClearingSystem1Code,1,1
pacs.029.001.02,/Document/MulSttlmReq/GrpHdr/SttlmInf/ClrSys/Prtry,Prtry,Max35Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq,SttlmReq,MultilateralSettlementRequest3,1,
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/InstrId,InstrId,Max35Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/InstrPrty,InstrPrty,Priority3Code,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/SttlmTmReq,SttlmTmReq,SettlementTimeRequest2,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/SttlmTmReq/CLSTm,CLSTm,ISOTime,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/SttlmTmReq/TillTm,TillTm,ISOTime,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/SttlmTmReq/FrTm,FrTm,ISOTime,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/SttlmTmReq/RjctTm,RjctTm,ISOTime,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/SttlmPrty,SttlmPrty,Priority3Code,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/SttlmCycl,SttlmCycl,Max35Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/NbOfMvmntRcrds,NbOfMvmntRcrds,Number,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd,MvmntRcrd,MovementRecord2,2,
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/Id,Id,Max35Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SeqNb,SeqNb,Number,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/Amt,Amt,AmountAndDirection5,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/Amt/Amt,Amt,ActiveCurrencyAndAmount,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/Amt/CdtDbt,CdtDbt,CreditDebitCode,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt,SttlmAgt,PartyIdentification272,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Nm,Nm,Max140Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr,PstlAdr,PostalAddress27,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/AdrTp,AdrTp,AddressType3Choice,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/AdrTp/Cd,Cd,AddressType2Code,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/AdrTp/Prtry,Prtry,GenericIdentification30,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/AdrTp/Prtry/Id,Id,Exact4AlphaNumericText,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/AdrTp/Prtry/Issr,Issr,Max35Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/AdrTp/Prtry/SchmeNm,SchmeNm,Max35Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/CareOf,CareOf,Max140Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/Dept,Dept,Max70Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/SubDept,SubDept,Max70Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/StrtNm,StrtNm,Max140Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/BldgNb,BldgNb,Max16Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/BldgNm,BldgNm,Max140Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/Flr,Flr,Max70Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/UnitNb,UnitNb,Max16Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/PstBx,PstBx,Max16Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/Room,Room,Max70Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/PstCd,PstCd,Max16Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/TwnNm,TwnNm,Max140Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/TwnLctnNm,TwnLctnNm,Max140Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/DstrctNm,DstrctNm,Max140Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/CtrySubDvsn,CtrySubDvsn,Max35Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/Ctry,Ctry,CountryCode,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/PstlAdr/AdrLine,AdrLine,Max70Text,0,7
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id,Id,Party52Choice,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/OrgId,OrgId,OrganisationIdentification39,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/OrgId/AnyBIC,AnyBIC,AnyBICDec2014Identifier,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/OrgId/LEI,LEI,LEIIdentifier,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/OrgId/Othr,Othr,GenericOrganisationIdentification3,0,
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/OrgId/Othr/Id,Id,Max256Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/OrgId/Othr/SchmeNm,SchmeNm,OrganisationIdentificationSchemeName1Choice,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/OrgId/Othr/SchmeNm/Cd,Cd,ExternalOrganisationIdentification1Code,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/OrgId/Othr/SchmeNm/Prtry,Prtry,Max35Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/OrgId/Othr/Issr,Issr,Max35Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/PrvtId,PrvtId,PersonIdentification18,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/PrvtId/DtAndPlcOfBirth,DtAndPlcOfBirth,DateAndPlaceOfBirth1,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/PrvtId/DtAndPlcOfBirth/BirthDt,BirthDt,ISODate,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/PrvtId/DtAndPlcOfBirth/PrvcOfBirth,PrvcOfBirth,Max35Text,0,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/PrvtId/DtAndPlcOfBirth/CityOfBirth,CityOfBirth,Max35Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/PrvtId/DtAndPlcOfBirth/CtryOfBirth,CtryOfBirth,CountryCode,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/PrvtId/Othr,Othr,GenericPersonIdentification2,0,
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/PrvtId/Othr/Id,Id,Max256Text,1,1
pacs.029.001.02,/Document/MulSttlmReq/SttlmReq/MvmntRcrd/SttlmAgt/Id/PrvtId/Othr/SchmeNm,SchmeNm,PersonIdentificationSchemeName1Choice,0,1
