Message,XPath,XML Tag,Type,MinOccurs,MaxOccurs
pacs.003.001.12,/Document,Document,Document,1,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt,FIToFICstmrDrctDbt,FIToFICustomerDirectDebitV12,1,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr,GrpHdr,GroupHeader125,1,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/MsgId,MsgId,Max35Text,1,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/CreDtTm,CreDtTm,ISODateTime,1,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/Authstn,Authstn,Authorisation1Choice,0,2
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/Authstn/Cd,Cd,Authorisation1Code,1,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/Authstn/Prtry,Prtry,Max128Text,1,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/BtchBookg,BtchBookg,BatchBookingIndicator,0,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/NbOfTxs,NbOfTxs,Max15NumericText,1,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/CtrlSum,CtrlSum,DecimalNumber,0,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/TtlIntrBkSttlmAmt,TtlIntrBkSttlmAmt,ActiveCurrencyAndAmount,0,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/IntrBkSttlmDt,IntrBkSttlmDt,ISODate,0,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/SttlmInf,SttlmInf,SettlementInstruction14,1,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/SttlmInf/SttlmMtd,SttlmMtd,SettlementMethod2Code,1,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/SttlmInf/SttlmAcct,SttlmAcct,CashAccount40,0,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/SttlmInf/SttlmAcct/Id,Id,AccountIdentification4Choice,0,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/SttlmInf/SttlmAcct/Id/IBAN,IBAN,IBAN2007Identifier,1,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/SttlmInf/SttlmAcct/Id/Othr,Othr,GenericAccountIdentification1,1,1
pacs.003.001.12,/Document/FIToFICstmrDrctDbt/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/Id,Id,Max34Text,1,1
