Message,XPath,XML Tag,Type,MinOccurs,MaxOccurs
pacs.007.001.14,/Document,Document,Document,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl,FIToFIPmtRvsl,FIToFIPaymentReversalV14,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr,GrpHdr,GroupHeader127,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/MsgId,MsgId,Max35Text,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/CreDtTm,CreDtTm,ISODateTime,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/Authstn,Authstn,Authorisation1Choice,0,2
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/Authstn/Cd,Cd,Authorisation1Code,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/Authstn/Prtry,Prtry,Max128Text,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/BtchBookg,BtchBookg,BatchBookingIndicator,0,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/NbOfTxs,NbOfTxs,Max15NumericText,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/CtrlSum,CtrlSum,DecimalNumber,0,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/GrpRvsl,GrpRvsl,TrueFalseIndicator,0,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/TtlRvsdIntrBkSttlmAmt,TtlRvsdIntrBkSttlmAmt,ActiveCurrencyAndAmount,0,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/IntrBkSttlmDt,IntrBkSttlmDt,ISODate,0,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/SttlmInf,SttlmInf,SettlementInstruction15,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/SttlmInf/SttlmMtd,SttlmMtd,SettlementMethod1Code,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/SttlmInf/SttlmAcct,SttlmAcct,CashAccount40,0,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/SttlmInf/SttlmAcct/Id,Id,AccountIdentification4Choice,0,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/SttlmInf/SttlmAcct/Id/IBAN,IBAN,IBAN2007Identifier,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/SttlmInf/SttlmAcct/Id/Othr,Othr,GenericAccountIdentification1,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/Id,Id,Max34Text,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/SchmeNm,SchmeNm,AccountSchemeName1Choice,0,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/SchmeNm/Cd,Cd,ExternalAccountIdentification1Code,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/SchmeNm/Prtry,Prtry,Max35Text,1,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/SttlmInf/SttlmAcct/Id/Othr/Issr,Issr,Max35Text,0,1
pacs.007.001.14,/Document/FIToFIPmtRvsl/GrpHdr/SttlmInf/SttlmAcct/Tp,Tp,CashAccountType2Choice,0,1
